web       |          589214 function calls (589208 primitive calls) in 58.922 seconds
web       |      3642    0.004    0.000    0.025    0.000 util.py:935(hl)
web       |       911    0.005    0.000    0.009    0.000 util.py:944(_qn)
web       |       911    0.006    0.000    0.032    0.000 util.py:952(hltype)
web       |      1820    0.001    0.000    0.012    0.000 util.py:968(hlval)
web       |         1    0.000    0.000    0.000    0.000 utils.py:32(await_many_dispatch)
web       |         1    0.000    0.000    0.000    0.000 warnings.py:403(__init__)
web       |         1    0.000    0.000    0.000    0.000 warnings.py:487(_warn_unawaited_coroutine)
web       |         1    0.000    0.000    0.000    0.000 warnings.py:96(_showwarnmsg)
web       |      1743    0.005    0.000    0.005    0.000 weakref.py:134(__getitem__)
web       |         1    0.000    0.000    0.000    0.000 websocket.py:188(websocket_receive)
web       |        18    0.000    0.000    0.004    0.000 websocket.py:19(__call__)
web       |         1    0.000    0.000    0.000    0.000 websocket.py:295(connectionLost)
web       |        34    0.000    0.000    0.007    0.000 websocket.py:341(dataReceived)
web       |         1    0.000    0.000    0.000    0.000 websocket.py:350(_closeConnection)
